firstname;lastname;username;password;OU;mail;number;securitygroup
Vladislava;Tomic;vtomic;p#78G85K;Vanjski korisnici;vtomic@vladimir.putin;0915872474;Administrator
Dzuro;Kovacevic;dkovacevic;"z""83N54S";Uprava;dkovacevic@vladimir.putin;0912645402;Zaposlenici
Lela;Bosnjak;lbosnjak;i$74E54V;Uprava;lbosnjak@vladimir.putin;0916268736;Administrator
Lela;Simunovic;lsimunovic;h#87P52P;Marketing;lsimunovic@vladimir.putin;0913476494;DistroGrupa
Dzuro;Mamic;dmamic;z#43T72F;Uprava;dmamic@vladimir.putin;0913922936;DistroGrupa
Miroslav;Bosnjak;mbosnjak;c#30O63Q;Uprava;mbosnjak@vladimir.putin;0913732894;Vanjski
Vladislava;Knezevic;vknezevic;t$46V39Q;Marketing;vknezevic@vladimir.putin;0910098371;Vanjski
Buga;Simunovic;bsimunovic;"x""79K11M";Uprava;bsimunovic@vladimir.putin;0917339073;Vanjski
Danica;Bosnjak;dbosnjak;b%16R74C;Uprava;dbosnjak@vladimir.putin;0914417860;Administrator
Zorja;Jukic;zjukic;g!59J13J;Marketing;zjukic@vladimir.putin;0915620801;Zaposlenici
Vesna;Bozic;vbozic;h$42R80V;Uprava;vbozic@vladimir.putin;0914634807;Zaposlenici
Hrvoje;Bozic;hbozic;o&33Q89M;Marketing;hbozic@vladimir.putin;0916628668;Zaposlenici
Bojana;Horvat;bhorvat;v&12G33E;Vanjski korisnici;bhorvat@vladimir.putin;0913294844;Administrator
Bojana;Simunovic;bsimunovic;"h""51P29Q";Uprava;bsimunovic@vladimir.putin;0914342802;Administrator
Krsto;Loncar;kloncar;q%87N62R;Vanjski korisnici;kloncar@vladimir.putin;0913022296;Vanjski
Doroteja;Kovacevic;dkovacevic;a&81W86G;Marketing;dkovacevic@vladimir.putin;0916028703;Vanjski
Milan;Horvat;mhorvat;t#77U91V;Financije;mhorvat@vladimir.putin;0912837573;Zaposlenici
Drzislav;Bozic;dbozic;f$64H47I;Marketing;dbozic@vladimir.putin;0913871184;DistroGrupa
Miroslav;Loncar;mloncar;p&47M80R;Vanjski korisnici;mloncar@vladimir.putin;0915004914;DistroGrupa
Vladislava;Jukic;vjukic;"a""47S21G";Vanjski korisnici;vjukic@vladimir.putin;0910588717;Administrator
Kresimir;Kovacevic;kkovacevic;"t""78U47H";Marketing;kkovacevic@vladimir.putin;0911310169;DistroGrupa
Drzislav;Kovacevic;dkovacevic;d$72M84Z;Uprava;dkovacevic@vladimir.putin;0915025651;Zaposlenici
Bojan;Cosci;bcosci;"z""15E95Q";Marketing;bcosci@vladimir.putin;0918859408;Vanjski
Bojana;Bosnjak;bbosnjak;n$19D80O;Vanjski korisnici;bbosnjak@vladimir.putin;0916862068;Vanjski
Kosjenka;Tomic;ktomic;l$25B63A;Marketing;ktomic@vladimir.putin;0915842327;DistroGrupa
Sam;Tomic;stomic;"d""19N12Q";Marketing;stomic@vladimir.putin;0911611737;DistroGrupa
Zorja;Jukic;zjukic;p%79X49Y;Vanjski korisnici;zjukic@vladimir.putin;0910789043;Zaposlenici
Jennifer;Jukic;jjukic;y$27W91K;Vanjski korisnici;jjukic@vladimir.putin;0914398462;DistroGrupa
Margarita;Jukic;mjukic;n$29T41N;Marketing;mjukic@vladimir.putin;0914647267;DistroGrupa
Vladislav;Filipovic;vfilipovic;j#55N59P;Financije;vfilipovic@vladimir.putin;0917460246;DistroGrupa
Krsto;Mamic;kmamic;i#96K89Z;Marketing;kmamic@vladimir.putin;0911464274;DistroGrupa
Mislav;Horvat;mhorvat;w&76M42L;Uprava;mhorvat@vladimir.putin;0910970426;Vanjski
Mislav;Filipovic;mfilipovic;x!91D45M;Marketing;mfilipovic@vladimir.putin;0915972340;Zaposlenici
Milan;Loncar;mloncar;g&91I30E;Uprava;mloncar@vladimir.putin;0919551992;Zaposlenici
Danica;Simunovic;dsimunovic;t&16K65B;Marketing;dsimunovic@vladimir.putin;0914541602;DistroGrupa
Danica;Horvat;dhorvat;k#70T72E;Financije;dhorvat@vladimir.putin;0916702218;Vanjski
Zvonimir;Jukic;zjukic;h%19E71T;Uprava;zjukic@vladimir.putin;0917530697;Vanjski
Branimir;Posavec;bposavec;"c""70Q19K";Vanjski korisnici;bposavec@vladimir.putin;0916785148;DistroGrupa
Margarita;Simunovic;msimunovic;a!17Z71F;Uprava;msimunovic@vladimir.putin;0916468066;Vanjski
George;Mamic;gmamic;b#52Z61O;Financije;gmamic@vladimir.putin;0919308713;Vanjski
Branimir;Bosnjak;bbosnjak;t!31P24U;Uprava;bbosnjak@vladimir.putin;0919992898;DistroGrupa
Doroteja;Bosnjak;dbosnjak;i#87S53X;Financije;dbosnjak@vladimir.putin;0918445069;Zaposlenici
Jennifer;Filipovic;jfilipovic;z!45X96H;Financije;jfilipovic@vladimir.putin;0916424119;Zaposlenici
Doroteja;Filipovic;dfilipovic;t$19C76H;Financije;dfilipovic@vladimir.putin;0913212385;Administrator
Pero;Bosnjak;pbosnjak;"b""27A63P";Marketing;pbosnjak@vladimir.putin;0919716221;DistroGrupa
Vladislav;Nikolic;vnikolic;t&63X91Q;Marketing;vnikolic@vladimir.putin;0915766521;Vanjski
Morana;Nikolic;mnikolic;j#83S89K;Uprava;mnikolic@vladimir.putin;0915012857;DistroGrupa
Tvrtko;Mamic;tmamic;z&90S19V;Marketing;tmamic@vladimir.putin;0910373369;Administrator
Hrvoje;Tomic;htomic;"w""86G44M";Uprava;htomic@vladimir.putin;0918740293;Administrator
Katarina;Mamic;kmamic;t!77F94C;Financije;kmamic@vladimir.putin;0914305246;Administrator
Bojana;Loncar;bloncar;c$91J16B;Vanjski korisnici;bloncar@vladimir.putin;0918677037;DistroGrupa
Hrvoje;Knezevic;hknezevic;j%93Q58T;Vanjski korisnici;hknezevic@vladimir.putin;0916673449;DistroGrupa
Katarina;Knezevic;kknezevic;c%26P50V;Vanjski korisnici;kknezevic@vladimir.putin;0918293983;DistroGrupa
Neda;Filipovic;nfilipovic;"g""41M54P";Marketing;nfilipovic@vladimir.putin;0915654023;Administrator
Dzuro;Bosnjak;dbosnjak;x$10E76M;Financije;dbosnjak@vladimir.putin;0910080532;Vanjski
Morana;Mamic;mmamic;p%79I78G;Vanjski korisnici;mmamic@vladimir.putin;0918556988;Administrator
Dzuro;Loncar;dloncar;a!47V16V;Vanjski korisnici;dloncar@vladimir.putin;0919511530;Zaposlenici
Sam;Cosci;scosci;x&77Y59F;Financije;scosci@vladimir.putin;0918693722;DistroGrupa
Krsto;Mamic;kmamic;w!76C30P;Uprava;kmamic@vladimir.putin;0917057849;Administrator
Vuk;Horvat;vhorvat;"x""74R49S";Uprava;vhorvat@vladimir.putin;0912756093;Zaposlenici
Ann;Nikolic;anikolic;u%84T49B;Vanjski korisnici;anikolic@vladimir.putin;0913237996;DistroGrupa
Vladislav;Kovacevic;vkovacevic;"o""20V56M";Uprava;vkovacevic@vladimir.putin;0914965793;DistroGrupa
