firstname;lastname;username;password;OU;mail;number;securitygroup
Vesna;Tomic;vtomic;"c""99S80D";OU=Vanjski korisnici,DC=vladimir,DC=putin;vtomic@vladimir.putin;916946070;Administrator
Pero;Bozic;pbozic;d#47H81A;OU=Financije,DC=vladimir,DC=putin;pbozic@vladimir.putin;918984412;Administrator
Ann;Tomic;atomic;c$69H75J;OU=Uprava,DC=vladimir,DC=putin;atomic@vladimir.putin;917149217;DistroGrupa
Drzislav;Nikolic;dnikolic;l$34W81Q;OU=Financije,DC=vladimir,DC=putin;dnikolic@vladimir.putin;913410375;Zaposlenici
Mislav;Knezevic;mknezevic;"r""12Q50C";OU=Vanjski korisnici,DC=vladimir,DC=putin;mknezevic@vladimir.putin;915366867;DistroGrupa
Bojana;Knezevic;bknezevic;"y""80T93U";OU=Vanjski korisnici,DC=vladimir,DC=putin;bknezevic@vladimir.putin;919856948;Zaposlenici
Milan;Cosci;mcosci;h#61S62S;OU=Vanjski korisnici,DC=vladimir,DC=putin;mcosci@vladimir.putin;914198256;DistroGrupa
Dzuro;Jukic;djukic;p%95N86G;OU=Financije,DC=vladimir,DC=putin;djukic@vladimir.putin;913461599;Zaposlenici
Drzislav;Loncar;dloncar;u&79K28X;OU=Uprava,DC=vladimir,DC=putin;dloncar@vladimir.putin;918839420;Administrator
Drzislav;Posavec;dposavec;"g""57V46W";OU=Financije,DC=vladimir,DC=putin;dposavec@vladimir.putin;917767487;Administrator
Sam;Loncar;sloncar;w%45N93A;OU=Financije,DC=vladimir,DC=putin;sloncar@vladimir.putin;919661607;Vanjski
Lela;Nikolic;lnikolic;n#68N42V;OU=Financije,DC=vladimir,DC=putin;lnikolic@vladimir.putin;914776978;Administrator
Miroslav;Horvat;mhorvat;m#55E99Q;OU=Uprava,DC=vladimir,DC=putin;mhorvat@vladimir.putin;915982869;Vanjski
Margarita;Loncar;mloncar;q%36H27A;OU=Uprava,DC=vladimir,DC=putin;mloncar@vladimir.putin;915012280;Zaposlenici
Vladislav;Posavec;vposavec;f$94Y87Q;OU=Marketing,DC=vladimir,DC=putin;vposavec@vladimir.putin;914121522;Vanjski
Mislav;Mamic;mmamic;n$84L78Z;OU=Marketing,DC=vladimir,DC=putin;mmamic@vladimir.putin;919661021;Zaposlenici
Neda;Nikolic;nnikolic;w#73Z81X;OU=Vanjski korisnici,DC=vladimir,DC=putin;nnikolic@vladimir.putin;919001811;Zaposlenici
Morana;Nikolic;mnikolic;"m""89V49R";OU=Financije,DC=vladimir,DC=putin;mnikolic@vladimir.putin;911860188;DistroGrupa
Sam;Filipovic;sfilipovic;y%74L69J;OU=Marketing,DC=vladimir,DC=putin;sfilipovic@vladimir.putin;918970538;Zaposlenici
Danica;Posavec;dposavec;c&22F61G;OU=Financije,DC=vladimir,DC=putin;dposavec@vladimir.putin;916953675;Vanjski
Jennifer;Nikolic;jnikolic;g!32C75Y;OU=Vanjski korisnici,DC=vladimir,DC=putin;jnikolic@vladimir.putin;914224298;Administrator
Sam;Filipovic;sfilipovic;"u""26E61L";OU=Uprava,DC=vladimir,DC=putin;sfilipovic@vladimir.putin;910391877;Vanjski
Drzislav;Bosnjak;dbosnjak;"w""82G57D";OU=Marketing,DC=vladimir,DC=putin;dbosnjak@vladimir.putin;916956136;Vanjski
Toni;Filipovic;tfilipovic;"u""78J61O";OU=Vanjski korisnici,DC=vladimir,DC=putin;tfilipovic@vladimir.putin;919789141;Zaposlenici
Danica;Kovacevic;dkovacevic;v!24M54Y;OU=Uprava,DC=vladimir,DC=putin;dkovacevic@vladimir.putin;912538130;Administrator
Ann;Bosnjak;abosnjak;r&64J71Z;OU=Vanjski korisnici,DC=vladimir,DC=putin;abosnjak@vladimir.putin;910375083;Vanjski
Vesna;Mamic;vmamic;"h""19Y68H";OU=Vanjski korisnici,DC=vladimir,DC=putin;vmamic@vladimir.putin;918305267;Zaposlenici
